Date,Dew Point Temperature (C),Average Temperature (C),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (C),Minimum Temperature (C),Precipitation (in)
3/12/19,11.333333333333334,20.666666666666668,5.1,3.0,5.8,999.9,26.22222222222222,12.0,0.0
3/13/19,13.88888888888889,21.444444444444443,4.2,3.1,5.8,999.9,26.999999999999996,13.38888888888889,0.18
3/14/19,14.777777777777779,18.666666666666664,5.1,6.5,11.7,19.4,20.0,16.0,0.4
3/15/19,11.166666666666666,18.000000000000004,6.0,4.9,9.7,999.9,20.0,13.88888888888889,0.07
3/16/19,12.111111111111109,20.666666666666668,5.9,3.6,5.8,999.9,24.0,15.61111111111111,0.0
3/17/19,13.444444444444446,20.888888888888886,5.5,2.9,7.8,999.9,25.0,16.72222222222222,99.99
3/18/19,15.5,19.777777777777775,3.5,3.2,5.8,999.9,23.5,18.000000000000004,0.0
3/19/19,18.388888888888886,23.944444444444443,4.4,4.9,11.7,999.9,28.000000000000004,17.77777777777778,0.0
3/20/19,20.055555555555554,23.944444444444443,4.9,5.6,13.6,999.9,26.0,21.999999999999996,99.99
3/21/19,20.27777777777778,25.888888888888886,5.9,6.2,11.7,999.9,30.0,21.999999999999996,0.0
3/22/19,17.77777777777778,22.5,5.8,7.5,11.7,999.9,29.0,16.72222222222222,0.47
3/23/19,10.944444444444446,14.222222222222221,5.8,8.3,11.7,999.9,17.0,11.777777777777779,0.09
3/24/19,11.61111111111111,13.88888888888889,5.4,4.5,11.7,17.5,15.0,11.722222222222221,0.23
3/25/19,15.166666666666666,19.833333333333332,6.6,3.1,9.7,999.9,24.0,13.499999999999998,0.17
3/26/19,17.555555555555557,22.055555555555557,4.6,3.0,7.8,999.9,25.0,18.5,0.0
3/27/19,18.72222222222222,23.61111111111111,4.8,4.1,11.7,999.9,28.000000000000004,19.61111111111111,0.0
3/28/19,20.27777777777778,25.166666666666668,4.3,4.3,9.7,999.9,28.000000000000004,21.5,99.99
3/29/19,19.0,21.722222222222218,5.3,4.4,11.7,999.9,26.0,19.0,0.57
3/30/19,18.72222222222222,24.777777777777775,5.2,4.0,7.8,999.9,28.000000000000004,19.0,0.0
3/31/19,17.83333333333333,21.833333333333332,5.2,5.3,9.7,999.9,25.0,17.0,0.13
4/1/19,14.222222222222221,17.38888888888889,5.3,4.5,7.8,999.9,18.61111111111111,16.0,0.0
4/2/19,17.0,21.77777777777778,3.7,3.6,5.8,999.9,24.222222222222218,16.5,0.0
4/3/19,18.22222222222222,22.88888888888889,4.3,4.8,9.7,999.9,26.27777777777778,18.000000000000004,0.08
4/4/19,17.055555555555557,19.66666666666667,3.7,3.7,7.8,999.9,21.77777777777778,18.000000000000004,0.07
4/5/19,17.61111111111111,22.83333333333333,5.4,3.7,9.7,999.9,26.999999999999996,17.88888888888889,0.0
4/6/19,19.72222222222222,25.833333333333332,4.5,3.9,5.8,999.9,30.0,17.77777777777778,0.0
4/7/19,21.27777777777778,26.611111111111114,5.7,4.6,7.8,13.6,31.0,21.888888888888893,0.0
4/8/19,21.888888888888893,27.38888888888889,6.1,6.8,9.7,999.9,31.0,23.000000000000004,0.0
4/9/19,21.888888888888893,27.16666666666667,6.3,5.4,9.7,999.9,31.0,24.499999999999996,0.0
4/10/19,22.22222222222222,28.22222222222222,6.2,4.9,7.8,999.9,32.0,24.388888888888893,0.0
4/11/19,18.333333333333332,22.22222222222222,5.8,7.0,17.5,23.3,29.0,17.0,0.17
4/12/19,16.444444444444443,18.333333333333332,4.1,5.2,9.7,999.9,19.222222222222218,16.0,0.94
4/13/19,18.833333333333336,20.888888888888886,3.7,3.6,7.8,999.9,21.999999999999996,18.111111111111107,0.39
4/14/19,19.555555555555557,22.722222222222225,4.9,5.0,9.7,999.9,25.0,19.388888888888893,0.09
4/15/19,17.77777777777778,19.499999999999996,4.3,4.9,11.7,999.9,21.22222222222222,18.72222222222222,0.82
4/16/19,18.166666666666668,21.055555555555557,4.8,2.9,9.7,999.9,24.72222222222222,18.61111111111111,1.24
4/17/19,19.333333333333332,24.88888888888889,4.1,3.2,5.8,999.9,28.000000000000004,18.5,0.37
4/18/19,20.666666666666668,23.333333333333332,2.7,4.9,17.5,33.0,25.0,20.0,1.21
4/19/19,19.777777777777775,21.27777777777778,3.7,4.1,9.7,999.9,21.999999999999996,20.38888888888889,3.11
4/20/19,21.055555555555557,23.111111111111107,4.0,4.1,9.7,13.6,25.0,20.611111111111107,1.92
4/21/19,22.555555555555554,24.61111111111111,2.9,3.1,5.8,999.9,25.888888888888886,22.22222222222222,0.02
4/22/19,21.944444444444443,24.499999999999996,4.3,4.8,11.7,21.4,29.0,21.999999999999996,1.2
4/23/19,23.111111111111107,28.333333333333332,5.9,4.9,9.7,19.4,32.0,22.277777777777775,1.2
4/24/19,22.61111111111111,28.111111111111107,6.3,4.1,7.8,999.9,32.0,24.499999999999996,0.0
4/25/19,22.77777777777778,28.77777777777778,5.8,4.9,9.7,999.9,32.0,24.222222222222218,0.0
4/26/19,21.333333333333336,25.38888888888889,5.0,6.0,15.5,21.4,30.0,21.0,1.93
4/27/19,19.88888888888889,21.722222222222218,5.0,5.0,13.6,999.9,23.000000000000004,21.0,1.93
4/28/19,21.611111111111114,25.27777777777778,5.3,3.4,5.8,999.9,28.000000000000004,20.888888888888886,0.0
4/29/19,22.722222222222225,26.722222222222218,5.7,4.3,9.7,999.9,30.0,23.5,0.0
4/30/19,19.27777777777778,23.111111111111107,5.7,7.3,13.6,23.3,26.999999999999996,19.0,1.0
5/1/19,15.777777777777779,22.5,6.7,6.5,13.6,999.9,25.0,19.499999999999996,0.0
5/2/19,17.166666666666668,20.166666666666668,5.8,4.4,7.8,999.9,21.999999999999996,18.5,0.45
5/3/19,17.055555555555557,22.944444444444443,5.9,3.9,7.8,999.9,26.0,18.5,0.0
5/4/19,17.72222222222222,20.055555555555554,3.3,2.8,7.8,999.9,23.277777777777782,17.61111111111111,0.76
5/5/19,18.000000000000004,19.72222222222222,5.0,3.2,7.8,999.9,20.11111111111111,17.27777777777778,0.37
5/6/19,18.111111111111107,20.27777777777778,5.4,4.2,7.8,999.9,21.999999999999996,19.0,0.09
5/7/19,17.555555555555557,20.888888888888886,6.0,4.1,7.8,999.9,23.000000000000004,18.77777777777778,0.35
5/8/19,18.166666666666668,20.11111111111111,5.2,3.2,5.8,999.9,21.0,18.77777777777778,0.44
5/9/19,18.88888888888889,24.444444444444443,6.5,4.0,9.7,999.9,26.999999999999996,19.27777777777778,0.44
5/10/19,19.88888888888889,26.0,5.3,3.1,9.7,999.9,30.0,21.722222222222218,0.0
5/11/19,20.888888888888886,27.555555555555554,3.0,3.2,5.8,13.6,32.0,21.611111111111114,0.0
5/12/19,20.11111111111111,28.277777777777782,5.9,4.0,7.8,999.9,32.0,21.27777777777778,0.0
5/13/19,21.722222222222218,28.666666666666668,6.3,4.6,9.7,999.9,32.0,22.5,0.0
5/14/19,22.88888888888889,28.666666666666668,6.1,4.1,9.7,999.9,32.0,25.27777777777778,0.0
5/15/19,24.333333333333332,29.5,6.1,5.8,11.7,25.3,33.0,25.72222222222222,0.3
5/16/19,24.944444444444446,30.333333333333332,5.9,4.9,9.7,999.9,35.0,26.38888888888889,0.07
5/17/19,25.222222222222225,29.5,6.0,4.5,11.7,999.9,35.0,26.0,0.64
5/18/19,25.555555555555557,31.22222222222222,6.1,5.7,9.7,999.9,35.0,25.888888888888886,0.02
5/19/19,25.27777777777778,31.11111111111111,6.2,6.7,15.5,999.9,36.0,23.000000000000004,0.02
5/20/19,21.27777777777778,27.055555555555557,6.4,7.5,15.5,999.9,31.22222222222222,23.72222222222222,0.07
5/21/19,21.5,25.944444444444443,4.5,3.9,5.8,999.9,28.000000000000004,23.61111111111111,0.01
5/22/19,22.333333333333332,26.11111111111111,3.4,3.2,9.7,999.9,28.388888888888886,23.5,0.71
5/23/19,22.944444444444443,25.444444444444443,4.7,4.7,7.8,999.9,26.999999999999996,23.88888888888889,3.0
5/24/19,22.722222222222225,26.611111111111114,4.8,4.9,7.8,999.9,30.0,23.277777777777782,0.01
5/25/19,23.5,27.11111111111111,5.9,4.4,9.7,999.9,29.0,24.0,1.17
5/26/19,24.055555555555557,28.055555555555557,6.2,5.3,11.7,999.9,31.0,24.111111111111114,1.2
5/27/19,24.166666666666668,27.22222222222222,6.4,4.0,7.8,999.9,30.0,24.27777777777778,0.35
5/28/19,23.77777777777778,26.888888888888893,5.5,4.2,7.8,15.5,29.0,24.0,2.83
5/29/19,22.333333333333332,25.166666666666668,6.0,5.4,7.8,999.9,26.999999999999996,23.388888888888886,0.34
5/30/19,22.722222222222225,25.27777777777778,4.6,3.8,5.8,999.9,26.999999999999996,23.111111111111107,0.35
5/31/19,23.88888888888889,26.722222222222218,4.4,2.5,3.9,999.9,30.0,23.72222222222222,0.24
6/1/19,24.111111111111114,26.166666666666664,4.2,3.0,13.6,999.9,31.0,24.0,0.81
6/2/19,24.444444444444443,27.22222222222222,5.1,4.6,11.7,999.9,30.0,24.72222222222222,0.19
6/3/19,24.166666666666668,28.277777777777782,5.2,4.7,7.8,999.9,33.0,25.222222222222225,0.01
6/4/19,23.555555555555557,26.944444444444443,5.5,4.5,25.3,999.9,33.0,23.000000000000004,1.63
6/5/19,24.944444444444446,26.944444444444443,5.0,3.9,15.5,999.9,32.0,23.388888888888886,0.47
6/6/19,24.88888888888889,28.444444444444443,6.0,4.8,13.6,999.9,33.0,24.27777777777778,2.56
6/7/19,24.27777777777778,30.27777777777778,6.4,5.7,11.7,999.9,34.0,24.27777777777778,99.99
6/8/19,24.333333333333332,30.27777777777778,6.4,5.7,15.5,19.4,35.0,25.0,0.04
6/9/19,24.27777777777778,31.166666666666668,6.6,8.1,13.6,999.9,34.0,25.0,0.0
6/10/19,24.388888888888893,26.944444444444443,5.3,4.6,17.5,25.3,33.0,23.88888888888889,2.66
6/11/19,24.0,26.27777777777778,4.8,3.2,15.5,999.9,29.0,23.61111111111111,1.17
6/12/19,24.555555555555557,26.833333333333332,3.6,4.0,13.6,27.2,31.0,23.388888888888886,0.26
6/13/19,23.88888888888889,28.111111111111107,5.2,5.8,11.7,17.5,33.0,24.111111111111114,0.25
6/14/19,19.88888888888889,28.277777777777782,6.7,5.1,9.7,15.5,32.0,21.5,0.0
6/15/19,20.27777777777778,29.22222222222222,6.6,4.5,9.7,999.9,33.5,21.38888888888889,0.0
6/16/19,21.611111111111114,29.22222222222222,6.3,4.9,7.8,999.9,33.0,23.277777777777782,99.99
6/17/19,23.833333333333336,29.555555555555557,6.5,5.5,9.7,999.9,33.0,23.22222222222222,0.01
6/18/19,25.222222222222225,28.111111111111107,5.9,3.6,7.8,999.9,30.0,25.38888888888889,0.48
6/19/19,25.38888888888889,30.444444444444443,6.1,4.7,11.7,999.9,34.0,25.888888888888886,0.2
6/20/19,24.66666666666667,31.22222222222222,6.3,7.0,17.5,29.1,34.0,25.888888888888886,0.0
6/21/19,24.777777777777775,32.166666666666664,6.6,8.1,11.7,999.9,36.0,28.111111111111107,0.0
6/22/19,24.88888888888889,32.388888888888886,6.5,9.4,13.6,999.9,36.0,28.61111111111111,0.0
6/23/19,24.333333333333332,29.0,6.1,4.9,19.4,999.9,35.0,25.222222222222225,0.07
6/24/19,23.61111111111111,25.055555555555554,3.4,4.0,7.8,17.5,26.0,23.5,6.8
6/25/19,24.61111111111111,28.555555555555557,3.7,3.1,5.8,999.9,31.0,23.388888888888886,0.08
6/26/19,25.222222222222225,28.388888888888886,4.4,3.1,7.8,999.9,32.0,25.0,0.33
6/27/19,25.777777777777782,31.166666666666668,6.1,4.7,9.7,999.9,35.0,26.38888888888889,0.03
6/28/19,25.944444444444443,31.88888888888889,6.3,4.9,11.7,999.9,36.0,26.999999999999996,99.99
6/29/19,25.944444444444443,31.944444444444443,6.5,3.5,7.8,999.9,36.0,27.277777777777775,0.0
6/30/19,25.555555555555557,30.27777777777778,6.2,4.3,11.7,999.9,36.0,26.38888888888889,0.03
7/1/19,24.833333333333332,32.0,6.3,5.2,9.7,999.9,36.0,26.27777777777778,0.0
7/2/19,25.11111111111111,28.61111111111111,6.3,6.2,19.4,999.9,34.0,25.500000000000004,0.05
7/3/19,25.0,28.055555555555557,5.9,6.7,19.4,29.1,32.0,25.38888888888889,0.65
7/4/19,25.055555555555554,29.77777777777778,6.3,6.2,11.7,999.9,33.0,25.27777777777778,1.23
7/5/19,24.27777777777778,30.77777777777778,6.3,6.6,9.7,19.4,34.0,26.38888888888889,0.03
7/6/19,24.88888888888889,31.555555555555557,6.5,7.2,11.7,17.5,35.0,27.5,0.0
7/7/19,25.166666666666668,29.77777777777778,6.3,6.0,11.7,21.4,34.0,26.0,0.03
7/8/19,24.499999999999996,31.0,6.2,8.2,11.7,999.9,34.0,26.0,0.0
7/9/19,24.88888888888889,29.22222222222222,6.1,6.2,13.6,23.3,33.0,25.222222222222225,0.17
7/10/19,24.166666666666668,26.055555555555557,5.2,3.5,7.8,999.9,26.999999999999996,24.777777777777775,1.1
7/11/19,24.555555555555557,26.999999999999996,4.8,3.4,7.8,999.9,34.0,24.388888888888893,1.3
7/12/19,25.27777777777778,30.055555555555557,6.2,7.0,15.5,999.9,33.0,23.88888888888889,0.13
7/13/19,24.72222222222222,31.055555555555557,6.4,8.3,11.7,999.9,34.0,27.38888888888889,0.05
7/14/19,24.944444444444446,29.22222222222222,5.9,5.4,11.7,21.4,35.0,24.88888888888889,0.33
7/15/19,25.11111111111111,30.833333333333332,5.9,5.4,11.7,999.9,35.0,24.88888888888889,0.0
7/16/19,24.333333333333332,32.05555555555556,5.3,3.0,5.8,15.5,36.0,25.888888888888886,0.0
7/17/19,24.222222222222218,33.111111111111114,5.6,4.3,9.7,999.9,37.0,26.11111111111111,0.0
7/18/19,24.333333333333332,32.388888888888886,6.3,5.5,11.7,19.4,38.0,26.611111111111114,0.0
7/19/19,25.11111111111111,29.055555555555557,5.2,4.9,19.4,29.1,36.0,25.38888888888889,1.04
7/20/19,24.944444444444446,29.88888888888889,5.3,4.2,17.5,999.9,35.0,25.38888888888889,0.11
7/21/19,25.27777777777778,28.055555555555557,5.0,3.6,13.6,999.9,33.0,25.222222222222225,0.02
7/22/19,24.388888888888893,26.833333333333332,5.2,3.9,9.7,19.4,32.0,24.0,1.78
7/23/19,24.72222222222222,27.5,5.3,4.0,7.8,13.6,31.0,23.77777777777778,0.31
7/24/19,24.944444444444446,28.277777777777782,5.9,4.0,13.6,999.9,32.0,24.72222222222222,1.3
7/25/19,25.0,30.88888888888889,6.1,4.1,7.8,999.9,34.0,25.11111111111111,0.0
7/26/19,24.27777777777778,31.666666666666668,6.3,5.1,9.7,13.6,35.22222222222222,25.611111111111107,0.0
7/27/19,24.27777777777778,31.944444444444443,6.5,4.9,7.8,17.5,36.0,25.72222222222222,0.0
7/28/19,24.166666666666668,30.0,6.4,4.8,9.7,999.9,34.0,25.222222222222225,0.0
7/29/19,23.72222222222222,29.11111111111111,6.3,4.2,11.7,13.6,35.0,24.88888888888889,0.36
7/30/19,24.055555555555557,28.833333333333332,6.4,5.9,23.3,33.0,34.0,24.72222222222222,0.08
7/31/19,23.5,27.5,6.6,6.1,9.7,999.9,30.0,24.27777777777778,0.6
8/1/19,23.72222222222222,26.333333333333336,5.9,9.1,13.6,23.3,28.000000000000004,24.27777777777778,1.34
8/2/19,23.72222222222222,27.444444444444446,6.5,7.1,15.5,999.9,30.0,24.27777777777778,0.26
8/3/19,24.0,26.77777777777778,6.5,3.8,9.7,21.4,30.0,23.77777777777778,0.15
8/4/19,23.333333333333332,30.166666666666668,6.2,3.1,7.8,999.9,34.0,23.72222222222222,0.0
8/5/19,24.222222222222218,31.72222222222222,5.8,2.0,5.8,999.9,36.0,24.388888888888893,0.0
8/6/19,24.444444444444443,29.5,6.0,2.8,19.4,33.0,36.0,23.72222222222222,1.18
8/7/19,24.388888888888893,30.0,5.3,3.3,25.3,44.7,36.0,23.5,0.06
8/8/19,23.72222222222222,33.22222222222222,6.1,4.2,9.7,999.9,37.0,25.11111111111111,99.99
8/9/19,24.444444444444443,34.05555555555556,6.2,5.2,11.7,21.4,38.0,26.77777777777778,0.0
8/10/19,24.72222222222222,33.27777777777778,5.6,5.6,13.6,21.4,38.0,26.611111111111114,0.05
8/11/19,25.500000000000004,31.333333333333332,5.4,4.7,11.7,21.4,35.0,26.27777777777778,0.92
8/12/19,23.88888888888889,31.11111111111111,5.7,5.0,9.7,17.5,37.0,24.72222222222222,0.91
8/13/19,24.499999999999996,31.444444444444443,5.6,3.8,9.7,21.4,36.0,24.499999999999996,0.91
8/14/19,24.055555555555557,31.27777777777778,5.8,5.0,11.7,13.6,37.0,24.111111111111114,3.47
8/15/19,24.27777777777778,29.666666666666668,5.0,3.2,19.4,23.3,36.0,23.88888888888889,0.26
8/16/19,24.055555555555557,29.166666666666668,5.1,4.6,17.5,29.1,36.0,24.72222222222222,2.4
8/17/19,24.88888888888889,27.555555555555554,3.9,3.6,11.7,999.9,32.0,24.499999999999996,0.67
8/18/19,24.833333333333332,28.055555555555557,5.2,4.0,9.7,999.9,31.0,25.38888888888889,0.69
8/19/19,25.0,29.72222222222222,4.7,3.2,17.5,999.9,34.0,25.27777777777778,0.04
8/20/19,24.333333333333332,30.666666666666668,5.5,4.3,9.7,19.4,35.0,25.222222222222225,99.99
8/21/19,24.222222222222218,30.666666666666668,4.9,2.8,5.8,999.9,34.0,25.0,0.0
8/22/19,23.666666666666664,31.27777777777778,5.3,3.3,9.7,999.9,36.0,25.38888888888889,0.0
8/23/19,24.27777777777778,29.555555555555557,5.0,2.7,9.7,999.9,35.0,25.27777777777778,0.0
8/24/19,24.222222222222218,33.666666666666664,5.7,7.2,15.5,23.3,38.0,25.222222222222225,0.01
8/25/19,24.0,27.38888888888889,3.6,7.3,17.5,21.4,32.0,24.0,4.17
8/26/19,24.388888888888893,26.888888888888893,5.6,4.5,15.5,999.9,30.0,24.0,0.2
8/27/19,25.055555555555554,29.444444444444443,5.6,3.2,7.8,999.9,33.0,25.0,0.12
8/28/19,25.055555555555554,32.27777777777778,6.0,4.9,9.7,999.9,36.0,24.88888888888889,0.12
8/29/19,24.777777777777775,30.0,6.3,5.5,17.5,31.1,36.0,26.11111111111111,0.93
8/30/19,24.222222222222218,27.83333333333333,6.3,4.5,7.8,999.9,31.0,25.0,0.48
8/31/19,24.111111111111114,27.38888888888889,5.8,4.0,9.7,999.9,32.0,24.499999999999996,0.16
9/1/19,23.555555555555557,27.16666666666667,6.0,6.2,15.5,21.4,34.0,23.5,0.63
9/2/19,23.277777777777782,26.27777777777778,6.5,5.4,13.6,999.9,32.0,23.5,0.83
9/3/19,22.666666666666668,28.5,6.5,7.5,13.6,17.5,32.0,23.388888888888886,0.39
9/4/19,23.666666666666664,28.388888888888886,5.9,5.3,11.7,999.9,32.0,24.499999999999996,0.01
9/5/19,23.944444444444443,27.77777777777778,6.4,4.7,11.7,999.9,33.0,24.27777777777778,0.06
9/6/19,23.61111111111111,29.666666666666668,6.5,3.5,11.7,999.9,35.0,24.222222222222218,99.99
9/7/19,24.61111111111111,31.666666666666668,5.9,2.9,5.8,999.9,36.0,24.88888888888889,0.0
9/8/19,24.333333333333332,30.166666666666668,5.1,3.2,11.7,999.9,36.0,24.61111111111111,0.9
9/9/19,24.444444444444443,30.5,5.3,4.1,11.7,999.9,34.0,24.111111111111114,0.0
9/10/19,23.77777777777778,31.22222222222222,6.0,4.5,7.8,999.9,35.0,25.0,0.0
9/11/19,23.166666666666668,31.444444444444443,6.0,4.0,5.8,15.5,36.0,24.777777777777775,0.0
9/12/19,23.944444444444443,31.88888888888889,5.8,3.8,7.8,999.9,36.0,24.72222222222222,0.0
9/13/19,24.88888888888889,31.72222222222222,6.3,3.6,5.8,999.9,36.0,26.5,99.99
9/14/19,24.388888888888893,28.5,5.2,4.1,17.5,27.2,33.111111111111114,24.0,0.14
