Date,NPK,PK,NK,SI,CK,OF,MT,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2021-12-01,0.09037672,0.06095232,0.04761856,0.054536441,0.07872984,0.05799024,0.0510314112,30.1,59.2,6.7,10.7,17.5,23.3,71.4,45.3,0.0
2022-03-30,0.8601600000000001,0.8877000000000002,0.079365,0.6403000000000001,0.057715,0.6039040000000001,0.6634856000000001,68.0,73.0,6.0,2.7,5.8,0.0,81.5,60.4,0.0
2022-04-07,0.15444,0.1296,0.07896000000000002,0.1008,0.06669000000000001,0.1483272,0.12793221000000002,54.9,76.6,6.5,5.2,11.7,17.1,87.8,60.8,99.99
2022-04-17,0.5451,0.46125,0.06272,0.24462,0.043225,0.29354399999999997,0.18229082400000002,59.4,63.4,6.4,5.8,9.7,0.0,75.0,59.7,0.06
2022-04-28,0.10692000000000002,0.10800000000000001,0.07224,0.126,0.05382000000000001,0.1345932,0.12236994000000001,76.9,83.3,6.7,7.0,11.7,0.0,91.4,74.3,0.06
2022-05-10,0.474,0.425,0.064,0.302,0.0475,0.24462,0.2250504,75.9,77.5,5.7,4.8,9.7,0.0,83.1,70.7,0.72
2022-05-16,0.07867,0.05666949999999999,0.038950000000000005,0.0902233,0.06664,0.08665903300000001,0.10019342130000002,60.2,67.9,6.3,8.2,15.5,0.0,75.9,58.8,0.1
2022-05-23,0.07499520000000001,0.066,0.06272,0.0665457,0.074295,0.07585032,0.08945597115,74.9,76.2,4.7,4.7,7.8,0.0,82.8,72.0,0.06
2022-12-01,0.890078208,0.955630032,0.09187893,0.70656768,0.050583366000000005,0.89686990848,0.6705421492224002,43.0,50.8,6.7,12.5,17.5,0.0,63.9,46.0,0.0
2022-12-11,0.119028096,0.1026648,0.05954558399999999,0.100107378,0.0685400625,0.11203027920000001,0.096292049616,43.8,58.8,6.7,11.3,15.5,0.0,71.1,52.7,0.0
2022-12-18,0.5476596,0.44863000000000003,0.05171200000000001,0.309097,0.051841500000000006,0.1981422,0.17753541120000002,23.1,50.0,6.7,9.2,19.4,0.0,59.0,41.0,0.0
2022-12-25,0.38833872,0.49368000000000006,0.07805952,0.38675328,0.048940865,0.2741919608,0.321941487632,40.1,58.1,6.7,3.1,5.8,0.0,71.6,41.0,0.0
2023-01-04,0.13434854400000001,0.11942640000000002,0.06450771599999999,0.107980992,0.08134424999999999,0.1363260024,0.131520848256,51.6,59.9,6.6,3.6,7.8,0.0,66.7,51.4,0.0
2023-01-12,0.4358904000000001,0.41289600000000004,0.09571584,0.39078196,0.038546344999999996,0.3945689192,0.310840057024,65.4,65.5,2.7,2.1,5.8,0.0,68.0,59.5,0.18
2023-01-16,0.128456064,0.10371240000000001,0.077267484,0.104606586,0.0836038125,0.1471241016,0.127997968392,37.3,47.3,6.7,10.1,13.6,0.0,55.9,44.2,0.0
2023-04-17,0.75264,0.83928,0.075075,0.674,0.050925000000000005,0.56616,0.6076784000000001,72.9,82.8,6.2,7.9,13.6,0.0,91.4,66.7,0.0
2023-04-26,0.45977999999999997,0.43775,0.06336,0.31408,0.047975000000000004,0.24462,0.23630292000000003,59.3,70.1,6.7,5.4,13.6,0.0,78.8,57.4,0.0
2023-05-04,0.13596,0.13635,0.084,0.12347999999999999,0.055575000000000006,0.13734,0.107908038,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0.0
2023-05-11,0.8641536000000001,0.8948016,0.0778635,0.7850752,0.05114325,0.6352315199999999,0.5539347184,68.7,69.8,4.7,4.0,7.8,0.0,79.2,68.0,0.33
2023-05-18,0.47281500000000004,0.36652,0.07833599999999999,0.354246,0.045614249999999995,0.3011091,0.315633186,78.5,84.5,5.3,4.7,21.4,0.0,95.9,74.8,1.54
2023-06-07,0.5063268,0.50779,0.067872,0.336881,0.049419,0.20804931,0.16168403520000002,79.9,81.7,6.4,5.1,9.7,0.0,91.4,76.6,1.68
2023-06-28,0.34255979999999997,0.33813000000000004,0.049254400000000004,0.173952,0.03705000000000001,0.17678687399999998,0.16975111356,78.1,83.7,6.7,4.9,11.7,21.4,92.7,77.0,0.07
2023-10-30,0.5114934,0.50779,0.0659328,0.32993500000000003,0.04845,0.194179356,0.15851376,65.2,76.1,6.1,5.7,11.7,0.0,86.0,64.8,0.0
2023-11-06,0.3494802,0.32487,0.0483072,0.175764,0.03705000000000001,0.17321542199999998,0.17850117096,58.9,78.6,7.2,9.7,19.4,0.0,86.7,65.1,0.0
2023-11-12,0.14665200000000003,0.15407550000000003,0.09596160000000001,0.150822,0.06233760000000001,0.1277262,0.1107386154,56.2,69.1,6.7,13.5,17.5,0.0,78.1,61.0,0.0
2023-11-18,0.86328410112,0.8999670456000001,0.086867352,0.84529046784,0.04115518912,0.8609948928,0.6968993955839999,42.4,65.2,6.7,5.7,13.6,0.0,76.5,46.0,0.0
2023-11-25,0.40815192,0.49700112,0.0789888,0.3451773024,0.0536010748,0.344478276,0.27139484568000005,59.0,70.5,5.9,4.0,5.8,0.0,82.4,57.6,0.0
2023-12-07,0.5451,0.48431250000000003,0.0620928,0.232389,0.04365725,0.28767311999999995,0.17864500752,47.4,64.2,6.7,3.2,5.8,0.0,77.0,49.1,0.0
2023-12-14,0.1026432,0.10476,0.0744072,0.12347999999999999,0.054896400000000005,0.139976928,0.12114624060000001,68.6,74.1,4.0,3.2,3.9,0.0,78.8,63.1,0.0
2023-12-21,0.07424524800000001,0.06336,0.061465599999999995,0.065214786,0.0757809,0.07433331359999999,0.0939287697075,28.6,45.8,6.7,15.1,19.4,25.3,58.3,38.7,0.0
